rep_id,n,tau,rho,p,fun,time
36,8192,0,0,4,d-a-c,0.0479999999999961
36,8192,0,0,6,d-a-c,0.0920000000000016
36,8192,0,0,8,d-a-c,0.0677999999999997
36,8192,0,0,10,d-a-c,0.1096
36,8192,0,0,2,brute force,0.343999999999994
36,8192,0,0,10,brute force,0.468000000000018
37,8192,0,0,2,Knight (original),0.00186000000000007
37,8192,0,0,2,Knight (extended),0.00330999999999989
37,8192,0,0,2,d-a-c,0.0123999999999967
37,8192,0,0,4,d-a-c,0.048599999999999
37,8192,0,0,6,d-a-c,0.0930000000000007
37,8192,0,0,8,d-a-c,0.0680000000000007
37,8192,0,0,10,d-a-c,0.110599999999999
37,8192,0,0,2,brute force,0.344999999999999
37,8192,0,0,10,brute force,0.471000000000004
38,8192,0,0,2,Knight (original),0.00188000000000017
38,8192,0,0,2,Knight (extended),0.00329999999999984
38,8192,0,0,2,d-a-c,0.0122000000000014
38,8192,0,0,4,d-a-c,0.048599999999999
38,8192,0,0,6,d-a-c,0.0925999999999988
38,8192,0,0,8,d-a-c,0.0701999999999998
38,8192,0,0,10,d-a-c,0.112399999999997
38,8192,0,0,2,brute force,0.344999999999999
38,8192,0,0,10,brute force,0.477000000000004
39,8192,0,0,2,Knight (original),0.00187999999999988
39,8192,0,0,2,Knight (extended),0.0033499999999998
39,8192,0,0,2,d-a-c,0.0124000000000024
39,8192,0,0,4,d-a-c,0.048399999999998
39,8192,0,0,6,d-a-c,0.0923999999999978
39,8192,0,0,8,d-a-c,0.0696000000000026
39,8192,0,0,10,d-a-c,0.112799999999999
39,8192,0,0,2,brute force,0.350999999999999
39,8192,0,0,10,brute force,0.468000000000018
40,8192,0,0,2,Knight (original),0.00185000000000002
40,8192,0,0,2,Knight (extended),0.00335000000000008
40,8192,0,0,2,d-a-c,0.0123999999999967
40,8192,0,0,4,d-a-c,0.048599999999999
40,8192,0,0,6,d-a-c,0.0932000000000016
40,8192,0,0,8,d-a-c,0.0699999999999989
40,8192,0,0,10,d-a-c,0.114400000000001
40,8192,0,0,2,brute force,0.346000000000004
40,8192,0,0,10,brute force,0.472999999999985
41,8192,0,0,2,Knight (original),0.00187000000000012
41,8192,0,0,2,Knight (extended),0.00337000000000018
41,8192,0,0,2,d-a-c,0.0124000000000024
41,8192,0,0,4,d-a-c,0.048599999999999
41,8192,0,0,6,d-a-c,0.0927999999999997
41,8192,0,0,8,d-a-c,0.0687999999999988
41,8192,0,0,10,d-a-c,0.111599999999999
41,8192,0,0,2,brute force,0.343000000000018
41,8192,0,0,10,brute force,0.466000000000008
42,8192,0,0,2,Knight (original),0.00187999999999988
42,8192,0,0,2,Knight (extended),0.00331999999999994
42,8192,0,0,2,d-a-c,0.0123999999999967
42,8192,0,0,4,d-a-c,0.048599999999999
42,8192,0,0,6,d-a-c,0.0925999999999988
42,8192,0,0,8,d-a-c,0.0692000000000007
42,8192,0,0,10,d-a-c,0.112
42,8192,0,0,2,brute force,0.344999999999999
42,8192,0,0,10,brute force,0.469999999999999
43,8192,0,0,2,Knight (original),0.00185000000000002
43,8192,0,0,2,Knight (extended),0.00331999999999994
43,8192,0,0,2,d-a-c,0.0123999999999967
43,8192,0,0,4,d-a-c,0.0480000000000018
43,8192,0,0,6,d-a-c,0.0922000000000025
43,8192,0,0,8,d-a-c,0.0682000000000016
43,8192,0,0,10,d-a-c,0.1118
43,8192,0,0,2,brute force,0.344999999999999
43,8192,0,0,10,brute force,0.467999999999989
44,8192,0,0,2,Knight (original),0.00187000000000012
44,8192,0,0,2,Knight (extended),0.00334000000000003
44,8192,0,0,2,d-a-c,0.0124000000000024
44,8192,0,0,4,d-a-c,0.048599999999999
44,8192,0,0,6,d-a-c,0.0927999999999997
44,8192,0,0,8,d-a-c,0.0698000000000036
44,8192,0,0,10,d-a-c,0.1142
44,8192,0,0,2,brute force,0.347000000000008
44,8192,0,0,10,brute force,0.47199999999998
45,8192,0,0,2,Knight (original),0.00191000000000003
45,8192,0,0,2,Knight (extended),0.00329999999999984
45,8192,0,0,2,d-a-c,0.0120000000000005
45,8192,0,0,4,d-a-c,0.0484000000000037
45,8192,0,0,6,d-a-c,0.0930000000000007
45,8192,0,0,8,d-a-c,0.0704000000000008
45,8192,0,0,10,d-a-c,0.112199999999996
45,8192,0,0,2,brute force,0.344999999999999
45,8192,0,0,10,brute force,0.472000000000008
46,8192,0,0,2,Knight (original),0.00182000000000016
46,8192,0,0,2,Knight (extended),0.00329999999999984
46,8192,0,0,2,d-a-c,0.0121999999999957
46,8192,0,0,4,d-a-c,0.0482000000000028
46,8192,0,0,6,d-a-c,0.0930000000000007
46,8192,0,0,8,d-a-c,0.0685999999999979
46,8192,0,0,10,d-a-c,0.111600000000004
46,8192,0,0,2,brute force,0.342000000000013
46,8192,0,0,10,brute force,0.466000000000008
47,8192,0,0,2,Knight (original),0.00181000000000012
47,8192,0,0,2,Knight (extended),0.00329999999999984
47,8192,0,0,2,d-a-c,0.0122000000000014
47,8192,0,0,4,d-a-c,0.0482000000000028
47,8192,0,0,6,d-a-c,0.0923999999999978
47,8192,0,0,8,d-a-c,0.0683999999999969
47,8192,0,0,10,d-a-c,0.111200000000002
47,8192,0,0,2,brute force,0.34099999999998
47,8192,0,0,10,brute force,0.47199999999998
48,8192,0,0,2,Knight (original),0.00185000000000002
48,8192,0,0,2,Knight (extended),0.00328999999999979
48,8192,0,0,2,d-a-c,0.0124000000000024
48,8192,0,0,4,d-a-c,0.048599999999999
48,8192,0,0,6,d-a-c,0.0923999999999978
48,8192,0,0,8,d-a-c,0.069599999999997
48,8192,0,0,10,d-a-c,0.111599999999999
48,8192,0,0,2,brute force,0.344999999999999
